TIMESTAMP;TRIP_DURATION;TRIP_LENGTH;START_POSITION_LAT;START_POSITION_LONG;END_POSITION_LAT;END_POSITION_LONG
1374365408;135;64;41.166135;-8.57475;41.238396;-8.549685
1388658875;330;95;41.148387;-8.608005;41.237433;-8.605206
1389496697;2400;115;41.170806;-8.617572;41.109435;-8.610408
1391122510;1005;171;41.160816;-8.573679;41.158602;-8.601867
1403872751;390;277;41.179572;-8.589258;41.163678;-8.61039
1377129589;1440;49;41.182731;-8.645463;41.184666;-8.603892
1381524720;870;17;41.14116;-8.647191;41.178825;-8.683245
1389296786;330;28;41.16483;-8.672877;41.135931;-8.620353
1385122726;2550;55;41.143356;-8.639946;41.146335;-8.60751
1399888478;300;17;41.145624;-8.611218;41.15574;-8.614026
1376806337;1740;177;41.149386;-8.612622;41.148099;-8.603235
1389947974;3195;211;41.154822;-8.6157;41.154588;-8.605926
1373115127;930;15;41.172804;-8.637903;41.168394;-8.596278
1375092688;1200;24;41.147136;-8.657964;41.14548;-8.629263
1379098286;1695;407;41.16609;-8.630379;41.155956;-8.606601
1381751318;435;45;41.145534;-8.662788;41.144445;-8.628714
1398349711;570;77;41.15061;-8.585622;41.153544;-8.669898
1394309995;360;52;41.147631;-8.626473;41.164857;-8.620812
1390699966;465;106;41.161023;-8.615574;41.146659;-8.599563
1386055708;675;69;41.158116;-8.62722;41.141187;-8.631486
1384511525;2175;238;41.18049;-8.586018;41.162634;-8.612865
1384192948;555;27;41.194746;-8.600139;41.210217;-8.66961
1374267666;270;111;41.146137;-8.609508;41.148837;-8.582319
1389723973;570;28;41.173407;-8.630613;41.14062;-8.668917
1377208074;675;61;41.146218;-8.612541;41.141016;-8.604036
1393734292;630;36;41.177223;-8.609958;41.151537;-8.606133
1387459928;180;144;41.167701;-8.649486;41.165478;-8.611524
1377910024;1380;15;41.157387;-8.653932;41.170887;-8.617923
1394106122;1230;31;41.140665;-8.624304;41.159034;-8.680608
1385978595;1680;28;41.149179;-8.656524;41.161671;-8.64162
1379084051;315;18;41.151312;-8.57907;41.143779;-8.603343
1398791665;2070;38;41.150133;-8.630604;41.144517;-8.6202
1389362761;435;49;41.150061;-8.620074;41.156622;-8.667711
1391084283;1005;97;41.156172;-8.612352;41.145813;-8.59302
1387841964;150;85;41.154741;-8.604135;41.143212;-8.66889
1381134352;270;19;41.149413;-8.610768;41.124348;-8.612676
1392488096;1395;21;41.18274;-8.613216;41.14413;-8.666118
1389799794;1695;33;41.14944;-8.610318;41.161545;-8.610507
1378507924;1455;73;41.147811;-8.600274;41.17311;-8.580492
1386107272;1485;118;41.14107;-8.569323;41.145588;-8.670204
1383090051;855;83;41.149404;-8.616447;41.148198;-8.609652
1389712230;2400;29;41.173533;-8.614017;41.169969;-8.628282
1400753222;510;36;41.146398;-8.656524;41.16645;-8.585649
1388055072;1905;82;41.153571;-8.622702;41.159349;-8.613999
1392162424;1245;88;41.180625;-8.654832;41.160753;-8.580528
1387464350;825;108;41.15952;-8.61309;41.155146;-8.565561
1386938232;4155;55;41.141646;-8.604207;41.157108;-8.620353
1399556359;255;133;41.167584;-8.598123;41.131026;-8.640891
1382714170;930;289;41.14683;-8.622675;41.15133;-8.58564
1380623458;1500;10;41.145192;-8.621064;41.150475;-8.584992
1384621492;720;17;41.14107;-8.674128;41.12001;-8.631018
1396771144;480;82;41.146002;-8.611299;41.154723;-8.632998
1393926282;975;99;41.148819;-8.610939;41.171895;-8.626743
1381271345;2550;105;41.169087;-8.570907;41.143257;-8.605926
1374047904;840;177;41.159151;-8.644887;41.163678;-8.687808
1382224630;1740;14;41.146173;-8.68689;41.154921;-8.599248
1385000231;1980;97;41.147784;-8.570529;41.1489;-8.612109
1378824088;435;87;41.140692;-8.613918;41.163588;-8.629506
1379603515;780;90;41.14134;-8.607528;41.159772;-8.593596
1399650587;450;91;41.16708;-8.621379;41.16591;-8.608995
1387812964;225;33;41.151447;-8.639748;41.237712;-8.603343
1380226204;450;79;41.173056;-8.646237;41.14692;-8.605215
1383730177;510;112;41.154759;-8.596188;41.152599;-8.625888
1385466828;930;51;41.147181;-8.659134;41.165784;-8.649324
1379806552;465;138;41.175108;-8.682174;41.150862;-8.694819
1392494342;825;11;41.14134;-8.569701;41.137947;-8.615709
1384553818;615;51;41.155083;-8.602776;41.16708;-8.58033
1393043334;135;29;41.149242;-8.593065;41.15754;-8.589474
1379708915;600;88;41.15106;-8.646237;41.237442;-8.600643
1397187990;1755;73;41.159781;-8.632251;41.17779;-8.624799
1399569871;840;21;41.153013;-8.615574;41.172471;-8.614089
1373960665;525;141;41.153661;-8.639865;41.163039;-8.609742
1382756920;1110;77;41.166009;-8.607663;41.151195;-8.631909
1382539293;225;177;41.151078;-8.583489;41.148639;-8.68842
1388580015;1140;27;41.159817;-8.634267;41.237343;-8.590896
1395493899;1245;26;41.148981;-8.628615;41.155479;-8.621694
1375966745;1260;55;41.179689;-8.637903;41.133483;-8.649936
1375805279;2790;32;41.179572;-8.612487;41.15844;-8.626176
1394209928;810;132;41.149386;-8.608689;41.141016;-8.607897
1392281341;1485;87;41.156613;-8.60967;41.144526;-8.56665
1388414696;1770;23;41.151105;-8.637903;41.188518;-8.60508
1395463778;975;159;41.150313;-8.586819;41.168016;-8.642169
1379555860;915;79;41.150268;-8.605809;41.16042;-8.642961
1402776802;1005;160;41.140818;-8.680446;41.180661;-8.598933
1399556359;195;23;41.162958;-8.600175;41.180724;-8.615547
1387104280;1275;64;41.161599;-8.605692;41.146758;-8.634681
1389164189;780;91;41.154354;-8.582481;41.163462;-8.579988
1391705738;345;49;41.140719;-8.620704;41.182686;-8.624943
1386396685;1110;64;41.153805;-8.608707;41.180454;-8.605386
